channel_side,n,mean,median,p75,max,min,n_positive
*/both,39,-0.059618076923076926,-0.28,0.252993,0.252993,-0.28,15
*/long,312,-0.059618076923076926,-0.28,0.252993,0.252993,-0.28,120
*/short,234,-0.07340038461538463,-0.28,0.217159,0.217159,-0.28,90
OI_Price/both,40,-0.13318660000000002,-0.257128,0.007006000000000002,0.107425,-0.28,10
OI_Price/long,313,-0.13104324600638978,-0.261775,0.056033,0.190275,-0.281455,95
OI_Price/short,408,-0.14813216911764707,-0.2649125,-0.001877,0.107033,-0.281488,95
Reserved6/both,26,-0.07913007692307691,-0.277012,0.201535,0.201535,-0.277012,10
Reserved6/long,143,-0.07752721678321678,-0.139889,0.201535,0.201535,-0.278005,55
Reserved6/short,195,-0.11881141025641027,-0.28,0.109166,0.129166,-0.28,75
pricechange/both,52,-0.06074403846153848,-0.24275,0.290282,0.290282,-0.28,20
pricechange/long,356,-0.04486099157303372,-0.28,0.290282,0.394617,-0.28,135
pricechange/short,300,-0.06736694333333335,-0.28,0.263608,0.267755,-0.28,115
