role,proposal_idx,model,elapsed_s,error
pattern_miner,-,claude-opus-4-7,79.56,
generator,-,claude-opus-4-7,68.41,
steelman,0,claude-opus-4-7,24.09,
devil,0,claude-opus-4-7,25.72,
quant,0,claude-opus-4-7,25.93,
risk,0,claude-opus-4-7,29.55,
metric_critic,0,claude-opus-4-7,22.94,
steelman,1,claude-opus-4-7,24.84,
devil,1,claude-opus-4-7,25.79,
quant,1,claude-opus-4-7,26.8,
risk,1,claude-opus-4-7,28.73,
metric_critic,1,claude-opus-4-7,22.7,
steelman,2,claude-opus-4-7,25.22,
devil,2,claude-opus-4-7,24.66,
quant,2,claude-opus-4-7,25.95,
risk,2,claude-opus-4-7,19.61,
metric_critic,2,claude-opus-4-7,24.7,
steelman,3,claude-opus-4-7,31.6,
devil,3,claude-opus-4-7,15.05,
quant,3,claude-opus-4-7,27.74,
risk,3,claude-opus-4-7,24.43,
metric_critic,3,claude-opus-4-7,24.61,
steelman,4,claude-opus-4-7,24.66,
devil,4,claude-opus-4-7,27.61,
quant,4,claude-opus-4-7,29.61,
risk,4,claude-opus-4-7,24.0,
metric_critic,4,claude-opus-4-7,25.22,
steelman,5,claude-opus-4-7,24.16,
devil,5,claude-opus-4-7,28.94,
quant,5,claude-opus-4-7,29.79,
risk,5,claude-opus-4-7,20.29,
metric_critic,5,claude-opus-4-7,27.94,
steelman,6,claude-opus-4-7,25.9,
devil,6,claude-opus-4-7,30.34,
quant,6,claude-opus-4-7,29.33,
risk,6,claude-opus-4-7,20.38,
metric_critic,6,claude-opus-4-7,23.69,
steelman,7,claude-opus-4-7,25.1,
devil,7,claude-opus-4-7,26.86,
quant,7,claude-opus-4-7,41.08,
risk,7,claude-opus-4-7,19.63,
metric_critic,7,claude-opus-4-7,38.73,
steelman,8,claude-opus-4-7,23.37,
devil,8,claude-opus-4-7,25.76,
quant,8,claude-opus-4-7,20.36,
risk,8,claude-opus-4-7,21.49,
metric_critic,8,claude-opus-4-7,26.4,
steelman,9,claude-opus-4-7,22.34,
devil,9,claude-opus-4-7,24.93,
quant,9,claude-opus-4-7,30.04,
risk,9,claude-opus-4-7,30.95,
metric_critic,9,claude-opus-4-7,23.53,
steelman,10,claude-opus-4-7,30.21,
devil,10,claude-opus-4-7,31.63,
quant,10,claude-opus-4-7,25.88,
risk,10,claude-opus-4-7,23.42,
metric_critic,10,claude-opus-4-7,27.62,
steelman,11,claude-opus-4-7,25.59,
devil,11,claude-opus-4-7,28.08,
quant,11,claude-opus-4-7,30.95,
risk,11,claude-opus-4-7,24.43,
metric_critic,11,claude-opus-4-7,23.96,
steelman,12,claude-opus-4-7,28.59,
devil,12,claude-opus-4-7,30.01,
quant,12,claude-opus-4-7,25.9,
risk,12,claude-opus-4-7,24.95,
metric_critic,12,claude-opus-4-7,22.53,
steelman,13,claude-opus-4-7,26.38,
devil,13,claude-opus-4-7,29.42,
quant,13,claude-opus-4-7,26.12,
risk,13,claude-opus-4-7,24.84,
metric_critic,13,claude-opus-4-7,23.24,
steelman,14,claude-opus-4-7,27.84,
devil,14,claude-opus-4-7,24.52,
quant,14,claude-opus-4-7,24.94,
risk,14,claude-opus-4-7,28.77,
metric_critic,14,claude-opus-4-7,50.62,
steelman,15,claude-opus-4-7,30.55,
devil,15,claude-opus-4-7,27.3,
quant,15,claude-opus-4-7,27.68,
risk,15,claude-opus-4-7,27.96,
metric_critic,15,claude-opus-4-7,27.81,
steelman,16,claude-opus-4-7,26.03,
devil,16,claude-opus-4-7,27.42,
quant,16,claude-opus-4-7,29.78,
risk,16,claude-opus-4-7,18.94,
metric_critic,16,claude-opus-4-7,28.97,
steelman,17,claude-opus-4-7,25.02,
devil,17,claude-opus-4-7,32.77,
quant,17,claude-opus-4-7,26.19,
risk,17,claude-opus-4-7,21.04,
metric_critic,17,claude-opus-4-7,24.76,
steelman,18,claude-opus-4-7,25.06,
devil,18,claude-opus-4-7,55.65,
quant,18,claude-opus-4-7,33.42,
risk,18,claude-opus-4-7,36.24,
metric_critic,18,claude-opus-4-7,64.04,
steelman,19,claude-opus-4-7,24.73,
