event_ts_ms,event_minute_ms,source,post_id,event_side,text
1776942892626,1776942840000,BWE_pricechange_monitor,77069,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3.6% in the past 3 seconds 💰 市值 LAB MarketCap: 143M
1776957123692,1776957120000,BWE_tier2_monitor,3542,down,"📢 Bitget公告 | 🕒 2026-04-23 23:08:09 🔗 [Source] 🇨🇳 关于调整LABUSDT永续期货交易对杠杆、持仓层级和维持保证金率的公告 🇺🇸 Announcement on adjustment of leverage, position tiers and maintenance margin rate for LABUSDT perpetual futures trading pair 💰 市值 LAB MarketCap: 160M"
1776995578778,1776995520000,BWE_pricechange_monitor,77191,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内上涨 4.3%。 🇺🇸 Price Monitor: LABUSDT (LAB) +4.3% in the past 30 seconds 💰 市值 LAB MarketCap: 171M
1776996286454,1776996240000,BWE_pricechange_monitor,77193,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.1% in the past 3 seconds 💰 市值 LAB MarketCap: 179M
1776997099056,1776997080000,BWE_pricechange_monitor,77198,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.1% in the past 3 seconds 💰 市值 LAB MarketCap: 179M
1777003149035,1777003140000,BWE_pricechange_monitor,77210,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 3 seconds 💰 市值 LAB MarketCap: 193M
1777003339263,1777003320000,BWE_pricechange_monitor,77211,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.4% in the past 3 seconds 💰 市值 LAB MarketCap: 194M
1777005197604,1777005180000,BWE_OI_Price_monitor,12992,up,"🇨🇳 🟢 LABUSDT 币安未平仓合约量 +8.6%，过去 3600 秒价格上涨 12.0%，未平仓合约量：1960 万美元，未平仓合约量/市值比率：9.9%，24 小时价格变动：+56.5% 🇺🇸 🟢 LABUSDT Binance openinterest +8.6%, Price +12.0% in the past 3600 seconds, OI: $19.6M, OI/Marketcap ratio: 9.9%, 24H Price Change: +56.5% 💰 市值 LAB MarketCap: 194M"
1777008864204,1777008840000,BWE_pricechange_monitor,77213,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 3.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.1% in the past 10 seconds 💰 市值 LAB MarketCap: 211M
1777009096213,1777009080000,BWE_pricechange_monitor,77214,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 3.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.1% in the past 10 seconds 💰 市值 LAB MarketCap: 211M
1777009264598,1777009260000,BWE_pricechange_monitor,77215,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.1% in the past 3 seconds 💰 市值 LAB MarketCap: 211M
1777009509933,1777009500000,BWE_pricechange_monitor,77216,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2.9%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.9% in the past 3 seconds 💰 市值 LAB MarketCap: 211M
1777009685246,1777009680000,BWE_pricechange_monitor,77218,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.4% in the past 3 seconds 💰 市值 LAB MarketCap: 211M
1777009808816,1777009800000,BWE_pricechange_monitor,77219,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2% in the past 3 seconds 💰 市值 LAB MarketCap: 211M
1777010008493,1777009980000,BWE_pricechange_monitor,77220,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2% in the past 3 seconds 💰 市值 LAB MarketCap: 211M
1777010560214,1777010520000,BWE_pricechange_monitor,77223,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 5.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +5.2% in the past 60 seconds 💰 市值 LAB MarketCap: 207M
1777011105760,1777011060000,BWE_pricechange_monitor,77225,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2% in the past 3 seconds 💰 市值 LAB MarketCap: 207M
1777011139519,1777011120000,BWE_OI_Price_monitor,12993,up,"🇨🇳 🔻 LABUSDT 币安未平仓合约量 -8.0%，过去 3600 秒价格下跌 27.3%，未平仓合约量：1380 万美元，未平仓合约量/市值比率：6.7%，24 小时价格变动：+12.7% 🇺🇸 🔻 LABUSDT Binance openinterest -8.0%, Price -27.3% in the past 3600 seconds, OI: $13.8M, OI/Marketcap ratio: 6.7%, 24H Price Change: +12.7% 💰 市值 LAB MarketCap: 207M"
1777011693237,1777011660000,BWE_pricechange_monitor,77231,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 4%。 🇺🇸 Price Monitor: LABUSDT (LAB) -4% in the past 30 seconds 💰 市值 LAB MarketCap: 207M
1777022921877,1777022880000,BWE_pricechange_monitor,77257,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 7.3%。 🇺🇸 Price Monitor: LABUSDT (LAB) +7.3% in the past 60 seconds 💰 市值 LAB MarketCap: 151M
1777145202422,1777145160000,BWE_pricechange_monitor,77616,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 7.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -7.1% in the past 60 seconds 💰 市值 LAB MarketCap: 191M
1777145282020,1777145280000,BWE_Reserved6,385,down,🇨🇳 🔻 LABUSDT 币安期货价格在过去 180 秒内下跌了 20.1%。 🇺🇸 🔻 LABUSDT Binance futures price dropped 20.1% in the past 180 seconds 💰 市值 LAB MarketCap: 191M
1777145285593,1777145280000,BWE_pricechange_monitor,77617,down,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内下跌了 6.7%，买价：0.63162，卖价：0.63297，最新价：0.63296。 🇺🇸 Bybit.P Monitor: LABUSDT -6.7% in the past 10 seconds, bid: 0.63162, ask: 0.63297, last: 0.63296. 💰 市值 LAB MarketCap: 191M"
1777145334586,1777145280000,BWE_pricechange_monitor,77618,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内上涨 6.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +6.2% in the past 30 seconds 💰 市值 LAB MarketCap: 191M
1777146278405,1777146240000,BWE_pricechange_monitor,77619,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 3.9%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3.9% in the past 3 seconds 💰 市值 LAB MarketCap: 191M
1777146279493,1777146240000,BWE_pricechange_monitor,77620,up,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内上涨了 7.9%，买价：0.71601，卖价：0.71727，最新价：0.71727。 🇺🇸 Bybit.P Monitor: LABUSDT +7.9% in the past 10 seconds, bid: 0.71601, ask: 0.71727, last: 0.71727. 💰 市值 LAB MarketCap: 191M"
1777147108132,1777147080000,BWE_pricechange_monitor,77622,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 5.3%。 🇺🇸 Price Monitor: LABUSDT (LAB) -5.3% in the past 3 seconds 💰 市值 LAB MarketCap: 191M
1777147111803,1777147080000,BWE_pricechange_monitor,77623,down,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内下跌了 7.7%，买价：0.85651，卖价：0.85878，最新价：0.85682。 🇺🇸 Bybit.P Monitor: LABUSDT -7.7% in the past 10 seconds, bid: 0.85651, ask: 0.85878, last: 0.85682. 💰 市值 LAB MarketCap: 191M"
1777151390300,1777151340000,BWE_pricechange_monitor,77634,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 3%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3% in the past 3 seconds 💰 市值 LAB MarketCap: 186M
1777151418912,1777151400000,BWE_pricechange_monitor,77635,down,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内下跌了 6.1%，买价：0.7216，卖价：0.72295，最新价：0.72217。 🇺🇸 Bybit.P Monitor: LABUSDT -6.1% in the past 10 seconds, bid: 0.7216, ask: 0.72295, last: 0.72217. 💰 市值 LAB MarketCap: 186M"
1777151645535,1777151640000,BWE_pricechange_monitor,77637,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 3.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.4% in the past 3 seconds 💰 市值 LAB MarketCap: 186M
1777153639720,1777153620000,BWE_pricechange_monitor,77638,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 6.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -6.1% in the past 30 seconds 💰 市值 LAB MarketCap: 186M
1777155072942,1777155060000,BWE_pricechange_monitor,77641,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 3.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3.2% in the past 3 seconds 💰 市值 LAB MarketCap: 166M
1777155482686,1777155480000,BWE_pricechange_monitor,77643,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 5.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) +5.4% in the past 10 seconds 💰 市值 LAB MarketCap: 166M
