reject_reason,strategy_family,exit_family,side,entry_timing,rejected_strategies,median_sample_size,max_sample_size,best_robust_score
sample_size_lt_20,message_context_breakout,prove_or_exit,short,5m,116,0.0,18,-10.0007
sample_size_lt_20,no_trade_freshness_boundary,runner_trail,long,5m,110,0.0,14,-9.99852295717001
sample_size_lt_20,premium_basis_overheat,prove_or_exit,short,5m,105,0.0,14,-10.0007
sample_size_lt_20,no_trade_freshness_boundary,indicator_invalidation,long,5m,103,0.0,18,-10.001
sample_size_lt_20,message_context_breakout,time_decay,short,5m,101,0.0,2,-9.98643028266579
sample_size_lt_20,premium_basis_overheat,time_decay,short,5m,101,0.0,12,-10.001
sample_size_lt_20,no_trade_freshness_boundary,trailing_stop,long,5m,101,0.0,14,-10.0007
sample_size_lt_20,premium_basis_overheat,fixed_tp_sl,short,5m,100,0.0,17,-9.996957032748591
sample_size_lt_20,no_trade_freshness_boundary,prove_or_exit,long,5m,100,0.0,17,-9.96067506813407
sample_size_lt_20,no_trade_freshness_boundary,time_decay,long,5m,99,0.0,18,-10.0007
sample_size_lt_20,message_context_breakout,failed_continuation,short,5m,99,0.0,8,-10.0007
sample_size_lt_20,premium_basis_overheat,multi_tp_sl,short,5m,98,0.0,18,-9.99600703318566
sample_size_lt_20,no_trade_freshness_boundary,breakeven_ratchet,short,5m,96,0.0,18,-10.001
sample_size_lt_20,no_trade_freshness_boundary,fixed_tp_sl,long,5m,96,0.0,17,-10.001
sample_size_lt_20,liquidity_filtered_momentum,failed_continuation,short,T0,95,0.0,0,-10.0007
sample_size_lt_20,no_trade_freshness_boundary,breakeven_ratchet,long,5m,95,0.0,18,-10.0007
sample_size_lt_20,no_trade_freshness_boundary,indicator_invalidation,short,5m,94,0.0,18,-10.001
sample_size_lt_20,no_trade_freshness_boundary,state_machine,long,5m,94,0.0,16,-10.000252932407522
sample_size_lt_20,liquidity_filtered_momentum,fixed_tp_sl,long,3m,93,0.0,2,-10.0007
sample_size_lt_20,message_context_breakout,indicator_invalidation,short,5m,93,0.0,3,-10.0007
sample_size_lt_20,state_machine_runner,prove_or_exit,short,3m,93,0.0,15,-9.999671479209884
sample_size_lt_20,liquidity_filtered_momentum,multi_tp_sl,short,T0,92,0.0,19,-10.0007
sample_size_lt_20,message_context_breakout,state_machine,short,5m,92,0.0,3,-10.0013
sample_size_lt_20,premium_basis_overheat,state_machine,short,5m,91,0.0,17,-9.99905076763993
sample_size_lt_20,liquidity_filtered_momentum,state_machine,long,3m,90,0.0,19,-9.993817461441456
sample_size_lt_20,no_trade_freshness_boundary,state_machine,short,5m,90,0.0,15,-9.993346524304895
sample_size_lt_20,premium_basis_overheat,trailing_stop,short,5m,89,0.0,19,-9.994400448051096
sample_size_lt_20,no_trade_freshness_boundary,failed_continuation,long,5m,89,0.0,14,-9.959290291435272
sample_size_lt_20,premium_basis_overheat,breakeven_ratchet,short,5m,89,0.0,3,-10.0007
sample_size_lt_20,freshness_strict_confirmation,state_machine,long,5m,89,0.0,15,-10.001211087400838
sample_size_lt_20,liquidity_filtered_momentum,trailing_stop,short,T0,89,0.0,18,-10.0007
sample_size_lt_20,no_trade_freshness_boundary,trailing_stop,short,5m,88,0.0,11,-9.999011796251498
sample_size_lt_20,premium_basis_overheat,failed_continuation,short,5m,88,0.0,13,-9.998710178692091
sample_size_lt_20,state_machine_runner,failed_continuation,long,T0,88,0.0,4,-9.993386688324064
sample_size_lt_20,liquidity_filtered_momentum,runner_trail,long,3m,87,0.0,13,-9.938910971817377
sample_size_lt_20,no_trade_freshness_boundary,time_decay,short,5m,87,0.0,18,-9.956412472608683
