strategy_family,side,entry_timing,exit_family,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,combined_funnel_score
oi_funding_continuation,long,1m,breakeven_ratchet,3610,3610,3610,3610,292.0,400,20.079436898231503,13.425835967063904,-2.2241588681936264,0.1114346951305866,0.0417179492801427,0.7377291,0.88989385,100.0,22.13296398891967,100.0,13.877565413713455,4,1,1,3.557312252964427,v6_f70c9ed57173dd6a00,201,higher_confidence_watchlist,0.8538116591928252
freshness_strict_confirmation,long,30s,breakeven_ratchet,3781,3781,3781,2848,102.0,111,21.86616957187653,15.759184956550598,-2.2241588681936264,0.1199143163919448,0.049795487293601,0.7331828,0.885508975,100.0,24.676011637133037,100.0,16.21091440320015,4,1,1,3.92156862745098,v6_4aea03e3fa32fdedbb,102,higher_confidence_watchlist,0.8503587443946189
oi_funding_continuation,long,1m,runner_trail,4576,4576,3795,3705,163.0,255,17.98195242881775,12.428831309080124,-2.2241588681936264,0.0955797368228435,0.0380684329771995,0.6433327,0.8746557749999998,100.0,19.86451048951049,100.0,12.880560755729675,12,1,1,5.659574468085106,v6_a007baac46dfabbc59,196,higher_confidence_watchlist,0.8420627802690582
contrarian_crash_fade,long,30s,breakeven_ratchet,2997,2997,2997,2997,341.0,1401,20.179131627082825,10.565640777349472,-2.2241588681936264,0.1032815521538257,0.0309196121454238,0.6806217250000001,0.8921219250000001,100.0,6.639973306639973,100.0,11.017370223999023,8,1,1,6.079664570230608,v6_b1c1ca8225d6820489,321,higher_confidence_watchlist,0.8403587443946189
state_machine_runner,long,T0,state_machine,3582,3582,3014,2615,321.0,1401,15.311358869075775,9.540193527936935,-2.2241588681936264,0.0815583613216877,0.0235307948619127,0.603602575,0.86732285,100.0,10.999441652707985,100.0,9.991922974586489,24,1,1,6.079664570230608,v6_193850a81510091fa9,321,higher_confidence_watchlist,0.822645739910314
contrarian_crash_fade,long,30s,state_machine,3232,3232,3010,2672,341.0,1401,16.635805368423462,10.455147922039032,-5.224158987402916,0.0883563700139522,0.025674538731575,0.634816175,0.8802921750000001,100.0,6.064356435643564,100.0,10.906877368688583,10,1,1,6.079664570230608,v6_bb5a10b92455024a2a,321,higher_confidence_watchlist,0.8200448430493273
freshness_strict_confirmation,long,30s,time_decay,668,668,668,668,227.0,273,18.445730209350582,17.788061499595642,-1.824158988893032,0.0953066144585609,0.0790649120211601,0.759598325,0.8776552000000001,100.0,17.065868263473057,100.0,18.239790946245197,6,1,1,3.524229074889868,v6_2e078d5e7379ffb44f,141,higher_confidence_watchlist,0.8129596412556054
premium_basis_overheat,long,30s,breakeven_ratchet,553,553,553,553,420.0,1401,20.179131627082825,16.359075903892517,-5.224158987402916,0.1032815521538257,0.0635074647098779,0.7229413250000001,0.8921219250000001,100.0,19.89150090415913,100.0,16.81080535054207,5,1,1,6.079664570230608,v6_28d858af6439dc2b01,321,higher_confidence_watchlist,0.8098206278026906
contrarian_crash_fade,long,30s,runner_trail,2691,2691,2588,2517,341.0,1401,15.723501145839691,9.90443304181099,-2.2241588681936264,0.0846784194886684,0.0265621009677648,0.6223687,0.871405575,100.0,8.02675585284281,100.0,10.35616248846054,9,1,1,6.079664570230608,v6_4fcb9eb4b2b00b7dfd,321,higher_confidence_watchlist,0.8079372197309418
state_machine_runner,long,T0,indicator_invalidation,573,573,463,463,954.0,954,18.17584633827209,14.99248594045639,-5.224158987402916,0.0941301989763975,0.0611915219038724,0.7186125999999999,0.8847265500000001,100.0,6.980802792321117,100.0,15.444215387105942,11,1,1,6.079664570230608,v6_e7a7efed551c0270c9,321,higher_confidence_watchlist,0.8042600896860987
