strategy_id,strategy_family,side,entry_timing,exit_family,sample_size,sample_tier,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,cost_stress_gap_pct,robust_score,strategy_similarity_cluster_id,baseline_lift_pct
v6_4aea03e3fa32fdedbb,freshness_strict_confirmation,long,30s,breakeven_ratchet,102,higher_confidence_watchlist,21.86616957187653,10.505876690149307,21.597851812839508,0.2683177590370214,0.1186540806233883,cluster_39710745e9,22.31789901852608
v6_f70c9ed57173dd6a00,oi_funding_continuation,long,1m,breakeven_ratchet,201,higher_confidence_watchlist,20.079436898231503,10.846831649541857,19.81111913919449,0.26831775903701427,0.1114346951305866,cluster_8095517046,20.531166344881054
v6_74fef72a29d155af49,oi_funding_continuation,long,1m,breakeven_ratchet,292,higher_confidence_watchlist,19.503697752952576,7.599878311157227,19.23537999391556,0.26831775903701427,0.1033816473126411,cluster_7ec0c6d094,19.955427199602127
v6_28d858af6439dc2b01,premium_basis_overheat,long,30s,breakeven_ratchet,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,0.2683177590370178,0.1032815521538257,cluster_5e5279eebc,20.630861073732376
v6_d559b598378bae1f75,state_machine_runner,long,T0,breakeven_ratchet,321,higher_confidence_watchlist,19.77584660053253,4.197158664464951,19.507528841495517,0.26831775903701427,0.1022160455048084,cluster_6d2e9af121,20.227576047182083
v6_689ba2e8f3363d48e4,state_machine_runner,long,T0,breakeven_ratchet,321,higher_confidence_watchlist,19.77584660053253,4.197158664464951,19.507528841495517,0.26831775903701427,0.1019160455048084,cluster_fe4abc49cd,20.227576047182083
v6_b0a2f3db55cb93618a,premium_basis_overheat,long,30s,failed_continuation,321,higher_confidence_watchlist,20.00238001346588,-2.010343223810196,19.734062254428864,0.2683177590370178,0.0961617594540119,cluster_c769cf1ac2,20.454109460115433
v6_0c1db8a9f372c3bf4b,freshness_strict_confirmation,long,30s,breakeven_ratchet,111,higher_confidence_watchlist,21.36099636554718,-5.224158987402916,21.09267860651016,0.2683177590370214,0.0958586414843797,cluster_a0aec4ba6c,21.81272581219673
v6_a007baac46dfabbc59,oi_funding_continuation,long,1m,runner_trail,196,higher_confidence_watchlist,16.87944233417511,10.196637362241743,16.611123085021973,0.2683192491531372,0.0955797368228435,cluster_5ee5422ec2,17.33117178082466
v6_2e078d5e7379ffb44f,freshness_strict_confirmation,long,30s,time_decay,141,higher_confidence_watchlist,18.445730209350582,6.087090075016022,18.177412450313568,0.26831775903701427,0.0953066144585609,cluster_3a230e028b,18.897459656000134
