strategy_similarity_cluster_id,strategy_family,side,exit_family,strategies,sample_gt15_count,median_sample_size,best_median_net_pct,median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,positive_stress_rate_pct,future_safety_pass_rate_pct,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,neighborhood_stability_score,source_cluster_strategies,source_cluster_best_strategy_id,source_cluster_best_robust_score
cluster_39710745e9,freshness_strict_confirmation,long,breakeven_ratchet,1131,1131,102.0,21.86616957187653,21.86616957187653,10.505876690149307,0.1186540806233883,0.1186540806233883,0.885508975,100.0,100.0,3.92156862745098,v6_4aea03e3fa32fdedbb,102,higher_confidence_watchlist,0.8568731343283581,2140,v6_4aea03e3fa32fdedbb,0.1186540806233883
cluster_5e5279eebc,contrarian_crash_fade,long,breakeven_ratchet,860,860,321.0,20.179131627082825,15.550914406776428,-2.2241588681936264,0.1032815521538257,0.0500557238191366,0.7712546000000001,100.0,100.0,3.4267912772585665,v6_b1c1ca8225d6820489,321,higher_confidence_watchlist,0.8538880597014925,970,v6_28d858af6439dc2b01,0.1032815521538257
cluster_47721f8ab3,oi_funding_continuation,long,breakeven_ratchet,1319,1319,328.0,18.16863715648651,13.425835967063904,-2.2241588681936264,0.0819306885391473,0.0417179492801427,0.7377291,100.0,100.0,3.353658536585366,v6_a9a0f9b44d394ad109,328,higher_confidence_watchlist,0.852723880597015,1319,v6_70cbef1d692341f176,0.0819306885391473
cluster_c769cf1ac2,contrarian_crash_fade,long,failed_continuation,856,856,321.0,20.00238001346588,15.043023228645325,-2.2241588681936264,0.0961617594540119,0.0494056137233972,0.7645143500000001,100.0,100.0,3.4267912772585665,v6_9c1ecb50b2acc7f374,321,higher_confidence_watchlist,0.8525298507462686,969,v6_b0a2f3db55cb93618a,0.0961617594540119
cluster_7ec0c6d094,oi_funding_continuation,long,breakeven_ratchet,1317,1317,292.0,19.503697752952576,15.150222182273865,-2.2241588681936264,0.1033816473126411,0.0477533010333776,0.7582616,100.0,100.0,3.767123287671233,v6_74fef72a29d155af49,292,higher_confidence_watchlist,0.850455223880597,1317,v6_74fef72a29d155af49,0.1033816473126411
cluster_f64502c828,liquidity_filtered_momentum,long,breakeven_ratchet,536,536,381.0,17.46291220188141,17.46291220188141,-3.2241586595773697,0.0819699251979589,0.0819699251979589,0.792909275,100.0,100.0,3.149606299212598,v6_1119ad97a5655ef5ec,381,higher_confidence_watchlist,0.8476940298507463,893,v6_1119ad97a5655ef5ec,0.0819699251979589
cluster_cd16a7db8b,state_machine_runner,long,time_decay,711,711,381.0,16.240784525871277,11.257001012563704,-1.824158988893032,0.0760101688981056,0.0362270265772938,0.7285978000000001,100.0,100.0,3.149606299212598,v6_19beffe26725f74db9,381,higher_confidence_watchlist,0.8453507462686567,711,v6_19beffe26725f74db9,0.0760101688981056
cluster_f974b1c3cd,contrarian_crash_fade,long,time_decay,871,871,321.0,16.526153683662415,11.21946945786476,-4.224158823490143,0.077324901330471,0.0360956661358475,0.717709275,100.0,100.0,3.4267912772585665,v6_57d9efd19d064c77b2,321,higher_confidence_watchlist,0.8383507462686567,977,v6_57d9efd19d064c77b2,0.077324901330471
cluster_5ee5422ec2,oi_funding_continuation,long,runner_trail,974,974,196.0,16.87944233417511,14.763803780078888,-2.2241588681936264,0.0955797368228435,0.0464008366256952,0.7385547,100.0,100.0,4.591836734693878,v6_a007baac46dfabbc59,196,higher_confidence_watchlist,0.8342611940298509,1061,v6_a007baac46dfabbc59,0.0955797368228435
cluster_cb81fe5d7b,contrarian_crash_fade,long,state_machine,851,851,321.0,16.635805368423462,11.587314307689669,-2.2241588681936264,0.0883563700139522,0.0355831234723329,0.7020736500000001,100.0,100.0,3.4267912772585665,v6_bb5a10b92455024a2a,321,higher_confidence_watchlist,0.8319029850746269,961,v6_bb5a10b92455024a2a,0.0883563700139522
cluster_728d84e317,freshness_strict_confirmation,long,breakeven_ratchet,554,554,73.0,21.8118816614151,16.35463535785675,-1.2241588905453682,0.1199143163919448,0.0712493058353662,0.778345925,100.0,100.0,5.47945205479452,v6_9fd2c43f2c545e0b33,73,validated_watchlist,0.8310895522388061,598,v6_9fd2c43f2c545e0b33,0.1199143163919448
cluster_a0aec4ba6c,freshness_strict_confirmation,long,breakeven_ratchet,1717,1717,111.0,21.36099636554718,14.952746033668518,-2.2241588681936264,0.0958586414843797,0.0469021345132589,0.69710095,100.0,100.0,3.603603603603604,v6_0c1db8a9f372c3bf4b,111,higher_confidence_watchlist,0.8307686567164179,1885,v6_0c1db8a9f372c3bf4b,0.0958586414843797
cluster_1e19a51485,contrarian_crash_fade,long,runner_trail,855,855,321.0,15.723501145839691,10.975376516580582,-2.2241588681936264,0.0846784194886684,0.0332184987097978,0.684014725,100.0,100.0,3.4267912772585665,v6_4fcb9eb4b2b00b7dfd,321,higher_confidence_watchlist,0.8276641791044776,969,v6_4fcb9eb4b2b00b7dfd,0.0846784194886684
cluster_bdfae4603f,message_context_breakout,long,breakeven_ratchet,432,432,227.0,19.22389566898346,15.98885953426361,-2.4741587229073048,0.087859793934226,0.0647328497369587,0.7478687500000001,100.0,100.0,3.524229074889868,v6_8fd162e0643145aba7,227,higher_confidence_watchlist,0.8268134328358209,432,v6_8fd162e0643145aba7,0.087859793934226
cluster_b245ca78b3,oi_funding_continuation,long,breakeven_ratchet,399,399,222.0,18.87871921062469,15.55698812007904,-1.2469698674976826,0.0936206925254315,0.0488769818156957,0.7610484999999999,100.0,100.0,4.054054054054054,v6_871de8c3a69cf23372,222,higher_confidence_watchlist,0.8247985074626866,399,v6_871de8c3a69cf23372,0.0936206925254315
cluster_db8e84ca85,cross_channel_continuation,long,breakeven_ratchet,329,329,354.0,18.35598051548004,12.435319274663923,-1.7241587862372398,0.0852832401126623,0.040651141102612,0.7545121250000001,100.0,100.0,3.389830508474576,v6_a71546ec4dcdcf990d,354,higher_confidence_watchlist,0.8241567164179106,329,v6_a71546ec4dcdcf990d,0.0852832401126623
cluster_124985ef5e,oi_funding_continuation,long,time_decay,445,445,354.0,16.455386579036713,10.672324150800703,-1.824158988893032,0.0767705222547054,0.0341806575611233,0.7125437250000001,100.0,100.0,3.389830508474576,v6_bb768efadbf33a59e1,354,higher_confidence_watchlist,0.8191716417910447,445,v6_bb768efadbf33a59e1,0.0767705222547054
cluster_be4e50cdb6,message_context_breakout,long,breakeven_ratchet,275,275,227.0,19.353583455085754,19.353583455085754,-3.2241586595773697,0.0874883675903081,0.0874883675903081,0.787139425,100.0,100.0,3.524229074889868,v6_1829dccd8a1642840c,227,higher_confidence_watchlist,0.8145149253731344,275,v6_1829dccd8a1642840c,0.0874883675903081
cluster_9940dbe60d,oi_funding_continuation,long,time_decay,271,271,392.0,14.892961084842682,14.892961084842682,-4.224158823490143,0.0666887050449848,0.0666887050449848,0.750208275,100.0,100.0,3.316326530612245,v6_06a5ef103467b2b420,392,higher_confidence_watchlist,0.8129179104477612,271,v6_06a5ef103467b2b420,0.0666887050449848
cluster_c392d1e02f,liquidity_filtered_momentum,long,state_machine,754,754,68.0,13.931024074554443,12.391024827957152,-3.2241586595773697,0.0649540195792913,0.0564840222328901,0.699969525,100.0,100.0,5.88235294117647,v6_095129911e3642d9e8,68,validated_watchlist,0.8123208955223881,840,v6_095129911e3642d9e8,0.0649540195792913
