commit	val_score	triggers	status	description
29ff6db	-0.015364	406	keep	E=E001/oi_overcrowded_continuation_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.40 elapsed=0.6s
738cc43	-0.015364	406	discard	E=E002/oi_overcrowded_reversal_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.40 elapsed=0.3s
738cc43	0.168334	190	keep	E=E003/oi_dropping_squeeze_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=4.60 elapsed=0.1s
7260d1e	0.043732	190	discard	E=E004/oi_dropping_capitulation_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.26 elapsed=0.1s
7260d1e	0.057988	795	discard	E=E005/oi_funding_blowoff_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.91 elapsed=1.0s
7260d1e	0.075762	878	discard	E=E006/oi_funding_divergence_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=1.0s
7260d1e	-0.088984	293	discard	E=E007/oi_low_vol_fakeout_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=2.65 elapsed=0.3s
7260d1e	0.096651	1401	discard	E=E008/oi_pump_immediate_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.57 elapsed=1.3s
7260d1e	0.096651	1401	discard	E=E009/oi_pump_delayed_30s_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.57 elapsed=1.3s
7260d1e	0.096651	1401	discard	E=E010/oi_pump_delayed_1m_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.57 elapsed=1.3s
7260d1e	0.075762	878	discard	E=E011/oi_pump_pretrend_aligned_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=1.0s
7260d1e	0.065805	878	discard	E=E012/oi_pump_counter_pretrend_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.91 elapsed=1.0s
7260d1e	0.147541	250	discard	E=E013/oi_crash_immediate_short_cont X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.57 elapsed=0.3s
7260d1e	0.275051	250	keep	E=E014/oi_crash_delayed_30s_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.59 best_sl=4.60 elapsed=0.3s
ab77bfc	0.147541	250	discard	E=E015/oi_crash_pretrend_aligned_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.57 elapsed=0.3s
ab77bfc	0.159732	85	discard	E=E016/oi_crash_oversold_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=4.60 elapsed=0.1s
ab77bfc	-0.063114	206	discard	E=E017/oi_pump_high_premium_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.87 elapsed=0.3s
ab77bfc	0.075762	878	discard	E=E018/oi_pump_low_premium_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=1.0s
ab77bfc	0.000000	0	crash	E=E019/oi_crash_high_funding_long X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
ab77bfc	0.000000	0	crash	E=E020/oi_crash_negative_funding_short X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
ab77bfc	0.075762	878	discard	E=E021/oi_pump_btc_bull_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=1.0s
ab77bfc	0.065805	878	discard	E=E022/oi_pump_btc_bear_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.91 elapsed=1.0s
